Stream Oil Adjust 29,,63705,float,1,RW,1,0.0
Stream Oil Adjust 30,,63707,float,1,RW,1,0.0
Stream Oil Adjust 31,,63709,float,1,RW,1,0.0
Stream Oil Adjust 32,,63711,float,1,RW,1,0.0
Stream Oil Adjust 33,,63713,float,1,RW,1,0.0
Stream Oil Adjust 34,,63715,float,1,RW,1,0.0
Stream Oil Adjust 35,,63717,float,1,RW,1,0.0
Stream Oil Adjust 36,,63719,float,1,RW,1,0.0
Stream Oil Adjust 37,,63721,float,1,RW,1,0.0
Stream Oil Adjust 38,,63723,float,1,RW,1,0.0
Stream Oil Adjust 39,,63725,float,1,RW,1,0.0
Stream Oil Adjust 40,,63727,float,1,RW,1,0.0
Stream Oil Adjust 41,,63729,float,1,RW,1,0.0
Stream Oil Adjust 42,,63731,float,1,RW,1,0.0
Stream Oil Adjust 43,,63733,float,1,RW,1,0.0
Stream Oil Adjust 44,,63735,float,1,RW,1,0.0
Stream Oil Adjust 45,,63737,float,1,RW,1,0.0
Stream Oil Adjust 46,,63739,float,1,RW,1,0.0
Stream Oil Adjust 47,,63741,float,1,RW,1,0.0
Stream Oil Adjust 48,,63743,float,1,RW,1,0.0
Stream Oil Adjust 49,,63745,float,1,RW,1,0.0
Stream Oil Adjust 50,,63747,float,1,RW,1,0.0
Stream Oil Adjust 51,,63749,float,1,RW,1,0.0
Stream Oil Adjust 52,,63751,float,1,RW,1,0.0
Stream Oil Adjust 53,,63753,float,1,RW,1,0.0
Stream Oil Adjust 54,,63755,float,1,RW,1,0.0
Stream Oil Adjust 55,,63757,float,1,RW,1,0.0
Stream Oil Adjust 56,,63759,float,1,RW,1,0.0
Stream Oil Adjust 57,,63761,float,1,RW,1,0.0
Stream Oil Adjust 58,,63763,float,1,RW,1,0.0
Stream Oil Adjust 59,,63765,float,1,RW,1,0.0
